State,Revenue,Debt,Gross State Product,Real State Growth %,Population (million)
Alabama,"6,673.10","5,963.80",176.4,2.4,4.8
Alaska,"17,335.70","14,341.40",52.7,-2.2,0.7
Arizona,"6,313.80","7,737.60",248.5,1.1,6.4
Arkansas,"6,237.40","4,750.30",106,3.5,2.9
California,"10,169.40","10,862.10","1,966.60",1.1,37.3
Colorado,"8,390.90","10,104.00",258.2,1.3,5
Connecticut,"9,129.80","11,492.20",232.5,1.4,3.6
Delaware,"8,631.90","8,666.00",57.5,0.6,0.9
District of Columbia,"12,752.10","17,069.40",104.2,2.8,0.6
Florida,"7,316.90","7,983.30",730.9,0.1,18.9
Georgia,"6,088.90","5,437.80",412.2,0.4,9.7
Hawaii,"8,679.90","9,263.10",67.7,2.5,1.4
Idaho,"6,156.20","3,903.90",55.7,1.1,1.6
Illinois,"8,110.30","10,599.70",655,0.9,12.8
Indiana,"6,776.30","7,879.40",283,6.2,6.5
Iowa,"7,884.60","5,644.10",142.3,2.1,3.1
Kansas,"7,525.20","9,714.50",127.9,3.2,2.9
Kentucky,"6,394.20","9,611.60",166.2,4.5,4.3
Louisiana,"7,199.30","7,794.30",233.2,4.8,4.5
Maine,"6,931.20","6,729.80",51.7,1.3,1.3
Maryland,"7,943.40","7,349.90",314.4,2.5,5.8
Massachusetts,"9,238.80","14,836.30",398.1,3.4,6.6
Michigan,"7,372.00","7,826.90",386.6,4.9,9.9
Minnesota,"8,765.50","8,522.00",273,3.6,5.3
Mississippi,"6,547.60","4,664.80",95.5,1.5,3
Missouri,"6,563.30","7,433.20",256.2,1.5,6
Montana,"7,123.60","6,051.00",37.3,2.8,1
Nebraska,"9,090.10","7,817.10",91.8,3.6,1.8
Nevada,"7,178.90","10,401.40",119.5,-0.7,2.7
New Hampshire,"7,030.80","8,349.60",62.9,2.9,1.3
New Jersey,"9,539.50","11,138.90",494.1,1,8.8
New Mexico,"7,404.60","8,216.90",84,0.3,2.1
New York,"13,302.20","16,291.30","1,199.40",3.5,19.4
North Carolina,"7,235.70","5,477.60",422.1,1.9,9.6
North Dakota,"8,900.20","6,636.90",35.3,7.4,0.7
Ohio,"8,582.20","6,649.90",494.4,2.2,11.5
Oklahoma,"6,508.40","4,995.40",152.1,1.8,3.8
Oregon,"8,612.30","8,866.50",191.5,5.6,3.8
Pennsylvania,"7,870.30","9,672.40",585.7,2.2,12.7
Rhode Island,"8,551.50","11,582.30",49.3,2,1.1
South Carolina,"7,446.80","8,905.50",165.4,1.6,4.6
South Dakota,"6,108.20","6,715.60",38.7,2.2,0.8
Tennessee,"6,622.30","6,028.10",253.7,1.4,6.4
Texas,"6,525.40","10,001.50","1,247.60",2.8,25.2
All states combined,"8,263.30","9,188.10","14,964.40",2.5,309.3
Utah,"6,881.70","6,944.90",118.5,1.8,2.8
Vermont,"8,050.30","7,458.00",26.5,3.7,0.6
Virginia,"7,526.10","7,704.40",424.2,2.4,8
Washington,"8,758.70","10,549.60",362.5,2,6.7
West Virginia,"6,679.40","5,785.50",66.2,2.5,1.9
Wisconsin,"9,747.60","7,579.10",254.3,2.6,5.7
Wyoming,"14,076.50","4,377.10",40.2,-1.4,0.6
