"State","Revenue","Debt","Gross_State_Product","Real_State_Growth_","Population_million_"
"ALABAMA","6673.10","5963.80","176.4","2.4","4.8"
"ALASKA","17335.70","14341.40","52.7","-2.2","0.7"
"ARIZONA","6313.80","7737.60","248.5","1.1","6.4"
"ARKANSAS","6237.40","4750.30","106","3.5","2.9"
"CALIFORNIA","10169.40","10862.10","1966.60","1.1","37.3"
"COLORADO","8390.90","10104.00","258.2","1.3","5"
"CONNECTICUT","9129.80","11492.20","232.5","1.4","3.6"
"DELAWARE","8631.90","8666.00","57.5","0.6","0.9"
"DISTRICT OF COLUMBIA","12752.10","17069.40","104.2","2.8","0.6"
"FLORIDA","7316.90","7983.30","730.9","0.1","18.9"
"GEORGIA","6088.90","5437.80","412.2","0.4","9.7"
"HAWAII","8679.90","9263.10","67.7","2.5","1.4"
"IDAHO","6156.20","3903.90","55.7","1.1","1.6"
"ILLINOIS","8110.30","10599.70","655","0.9","12.8"
"INDIANA","6776.30","7879.40","283","6.2","6.5"
"IOWA","7884.60","5644.10","142.3","2.1","3.1"
"KANSAS","7525.20","9714.50","127.9","3.2","2.9"
"KENTUCKY","6394.20","9611.60","166.2","4.5","4.3"
"LOUISIANA","7199.30","7794.30","233.2","4.8","4.5"
"MAINE","6931.20","6729.80","51.7","1.3","1.3"
"MARYLAND","7943.40","7349.90","314.4","2.5","5.8"
"MASSACHUSETTS","9238.80","14836.30","398.1","3.4","6.6"
"MICHIGAN","7372.00","7826.90","386.6","4.9","9.9"
"MINNESOTA","8765.50","8522.00","273","3.6","5.3"
"MISSISSIPPI","6547.60","4664.80","95.5","1.5","3"
"MISSOURI","6563.30","7433.20","256.2","1.5","6"
"MONTANA","7123.60","6051.00","37.3","2.8","1"
"NEBRASKA","9090.10","7817.10","91.8","3.6","1.8"
"NEVADA","7178.90","10401.40","119.5","-0.7","2.7"
"NEW HAMPSHIRE","7030.80","8349.60","62.9","2.9","1.3"
"NEW JERSEY","9539.50","11138.90","494.1","1","8.8"
"NEW MEXICO","7404.60","8216.90","84","0.3","2.1"
"NEW YORK","13302.20","16291.30","1199.40","3.5","19.4"
"NORTH CAROLINA","7235.70","5477.60","422.1","1.9","9.6"
"NORTH DAKOTA","8900.20","6636.90","35.3","7.4","0.7"
"OHIO","8582.20","6649.90","494.4","2.2","11.5"
"OKLAHOMA","6508.40","4995.40","152.1","1.8","3.8"
"OREGON","8612.30","8866.50","191.5","5.6","3.8"
"PENNSYLVANIA","7870.30","9672.40","585.7","2.2","12.7"
"RHODE ISLAND","8551.50","11582.30","49.3","2","1.1"
"SOUTH CAROLINA","7446.80","8905.50","165.4","1.6","4.6"
"SOUTH DAKOTA","6108.20","6715.60","38.7","2.2","0.8"
"TENNESSEE","6622.30","6028.10","253.7","1.4","6.4"
"TEXAS","6525.40","10001.50","1247.60","2.8","25.2"
"ALL STATES COMBINED","8263.30","9188.10","14964.40","2.5","309.3"
"UTAH","6881.70","6944.90","118.5","1.8","2.8"
"VERMONT","8050.30","7458.00","26.5","3.7","0.6"
"VIRGINIA","7526.10","7704.40","424.2","2.4","8"
"WASHINGTON","8758.70","10549.60","362.5","2","6.7"
"WEST VIRGINIA","6679.40","5785.50","66.2","2.5","1.9"
"WISCONSIN","9747.60","7579.10","254.3","2.6","5.7"
"WYOMING","14076.50","4377.10","40.2","-1.4","0.6"
